"age","number"
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,28176
19,28176
20,28176
21,28176
22,28176
23,28176
24,28176
25,116636
26,116636
27,116636
28,116636
29,116636
30,116636
31,116636
32,116636
33,116636
34,116636
35,116636
36,116636
37,116636
38,116636
39,116636
40,116636
41,116636
42,116636
43,116636
44,116636
45,142676
46,142676
47,142676
48,142676
49,142676
50,142676
51,142676
52,142676
53,142676
54,142676
55,142676
56,142676
57,142676
58,142676
59,142676
60,142676
61,142676
62,142676
63,142676
64,142676
65,103167
66,103167
67,103167
68,103167
69,103167
70,103167
71,103167
72,103167
73,103167
74,103167
75,103167
76,103167
77,103167
78,103167
79,103167
80,103167
81,103167
82,103167
83,103167
84,103167
