"Age group","0 to 0","1 to 1","2 to 2","3 to 3","4 to 4","5 to 5","6 to 6","7 to 7","8 to 8","9 to 9","10 to 10","11 to 11","12 to 12","13 to 13","14 to 14","15 to 15","16 to 16","17 to 17","18 to 18","19 to 19","20 to 20","21 to 21","22 to 22","23 to 23","24 to 24","25 to 25","26 to 26","27 to 27","28 to 28","29 to 29","30 to 30","31 to 31","32 to 32","33 to 33","34 to 34","35 to 35","36 to 36","37 to 37","38 to 38","39 to 39","40 to 40","41 to 41","42 to 42","43 to 43","44 to 44","45 to 45","46 to 46","47 to 47","48 to 48","49 to 49","50 to 50","51 to 51","52 to 52","53 to 53","54 to 54","55 to 55","56 to 56","57 to 57","58 to 58","59 to 59","60 to 60","61 to 61","62 to 62","63 to 63","64 to 64","65 to 65","66 to 66","67 to 67","68 to 68","69 to 69","70 to 70","71 to 71","72 to 72","73 to 73","74 to 74","75 to 75","76 to 76","77 to 77","78 to 78","79 to 79","80 to 80","81 to 81","82 to 82","83 to 83","84 to 84"
"0 to 0",0.0181622382072372,0.0231818998028857,0.0296138312041359,0.0282736132756587,0.0289341854027884,0.0250366551246077,0.0230219446470214,0.0188677791152735,0.0152815492046419,0.0138388474551289,0.0114246960739086,0.0106973535997877,0.008458314032051,0.008537689101199,0.0076237022903008,0.0077278985644705,0.0060328543300521,0.0069504073799431,0.0078068274989936,0.0110043441706359,0.0131058777816806,0.0164816428316121,0.0162264799358275,0.0217361426555536,0.0239387609504198,0.0236239164803288,0.0288679162477485,0.0284850583838107,0.0277274661657971,0.0331520795061396,0.0381699945925759,0.038408614748357,0.0375919091249425,0.0336730120632759,0.0345586239173885,0.0321128128706365,0.0267023838868797,0.0263526251253803,0.0224239443200376,0.0210919793145197,0.0197890442776923,0.0162126259232007,0.0110729626274728,0.0104509873890115,0.0092270011527528,0.0078420465923023,0.0058604573536052,0.0054677550126517,0.0047007440186004,0.0044003427312898,0.0058477198127433,0.0043694646527537,0.0034083640956212,0.0042698580027277,0.0028913491226848,0.0027399488536735,0.0024640673750921,0.001930313272101,0.0020469576104675,0.0015682273454824,0.0023287620086556,0.0012945322671238,0.001848740450704,0.0015001282438386,0.0008831779797212,0.0007598853272815,0.0008795254653303,0.0012265143324665,0.0005763667708851,0.0006369173427877,0.0008970575344067,0.0007124838071862,0.0005235270626966,0.0004331882067615,0.0006618356076323,0.0007178408282929,0.0006187359378196,0.000252266993932,0.0001772686984387,8.52253357878e-05,0.0001454512397446,0.0001549551559779,0.0001451265717987,0.0001383085449357,0.0009340696802345
"1 to 1",0.0187116242589249,0.0232168369117354,0.0323727636258592,0.0273997369093951,0.0279863794598812,0.0269070266222322,0.0238087032663556,0.0214568300006636,0.0161614970431216,0.0149185065480261,0.012311374718507,0.0104373388796371,0.0094936500954332,0.0083259122511228,0.0067633373725499,0.0077260393010765,0.0067655154084079,0.0072813580490648,0.0075392175194057,0.0101266279077077,0.0118539894790514,0.0142879120219388,0.0157602537245925,0.0181957669575302,0.019918897073429,0.0236358485863191,0.0249359577739964,0.0278413966749777,0.0277032902342461,0.0324138929512877,0.0354900052894109,0.0369173202011241,0.0376197862453434,0.0348164351012296,0.0342041820744149,0.030679843792771,0.0305802364494787,0.0233339789555738,0.0238429782387187,0.0221979518289573,0.020441035126523,0.0170682865828978,0.0134513309228515,0.0106580379611583,0.0101924711137193,0.0093019334599325,0.0064137062651179,0.0053094269661877,0.0051593555308266,0.004372542138763,0.005671469762604,0.0039592266189592,0.0036885816108203,0.003439591886843,0.0031404954262805,0.0030960976726207,0.0022033467055755,0.0024690702872971,0.0024205414126167,0.0018293801478546,0.0017715362069002,0.0020718637112892,0.0019561520056815,0.0019498625491691,0.0008197377439577,0.0009388383707353,0.0007691540752462,0.0010840855070672,0.0009149253329541,0.0012432873750358,0.0007928646115868,0.0006328765615541,0.0006467062187716,0.0006704882262089,0.0005298867111646,0.0003178140993891,0.0003868015755089,0.0003166348262931,0.0002476473501734,0.0002201309779319,0.0001843596940179,0.0001266467834076,0.0003171649035938,8.25491167245e-05,0.0007818580626902
"2 to 2",0.019232468219583,0.0260470017643238,0.0315819335346434,0.0280330175787136,0.0254467570155668,0.0267510429704904,0.025361469546512,0.0230064369742903,0.0187891976514453,0.0157697306973343,0.0138592220154388,0.0119824015280976,0.009673658199163,0.008474695542974,0.0078015417248946,0.0076987033217108,0.0072329050244831,0.0074083859817122,0.0069314283248927,0.0090380675529454,0.010957231530425,0.0146861496190668,0.0159366039114976,0.0165173889901573,0.0191164334396268,0.0212708548388676,0.0227553497246643,0.0264931107385943,0.029598269911102,0.0284802327941276,0.034356401435971,0.0337649428443796,0.0369704772733465,0.0337483429606171,0.0297246939947525,0.0301700568736967,0.0268690108156102,0.0255643894126891,0.0242451188851295,0.023602228005788,0.0224306648157604,0.0163493277002841,0.014061786527913,0.0118493632209095,0.0119794724404183,0.0106625242451491,0.0074000926750661,0.0054682384418038,0.006164690782119,0.0056955284206878,0.0049923287835084,0.0051282235594138,0.0041991395073223,0.0042158238060204,0.002943517841233,0.0023547984958718,0.0026076816824691,0.0023427400619218,0.0018645781099288,0.0018242476763996,0.0020510728202014,0.0016849265388054,0.0017805052575244,0.001521673582646,0.001557940303291,0.0013876812760979,0.0011991211645834,0.0014316920533711,0.0007615484202891,0.0009774092066866,0.0007290243408734,0.0004642504443248,0.0009853689084561,0.0004698332574262,0.0004688844188047,0.0003477493547897,0.0003799092335224,0.0002590329436769,0.0002922422954304,0.0003072703657188,0.0002374205084088,0.0001936205841626,0.0002665182261357,0.0001685769950913,0.0005946055361571
"3 to 3",0.0204633153670904,0.0245684983656856,0.0312409409818736,0.0287557635226029,0.0249580134480208,0.0271609605954536,0.0267598430847876,0.026912366357222,0.0223346100400134,0.0201584105507126,0.0176012062614579,0.0143011635128586,0.0125615851374549,0.010398199136171,0.0078402077402818,0.0091912163007648,0.0066081878480102,0.0054188163181501,0.0058945746251446,0.0067189032696065,0.0082380375607615,0.0095577762972286,0.0125898203285324,0.0130140909341502,0.0163670127881823,0.0174474197568202,0.0201619287037496,0.0218107104672612,0.0251153029058285,0.0260791568822657,0.0303980052351629,0.031511451785323,0.0289454993563062,0.0333312677946283,0.0311624365436357,0.032449695218015,0.0267846915811387,0.0284662097504437,0.0252363008321558,0.0259020747325707,0.0253409720471157,0.020749662788893,0.0169094060803905,0.0165469660695419,0.0134829131720324,0.0107442438308464,0.0092486475610088,0.0073161044071481,0.0059587201186017,0.005066670725442,0.0061240084038011,0.00440725488838,0.0043012744308081,0.0030367736548343,0.0032182489769462,0.0028348725869081,0.0029667671747613,0.0023417691774465,0.0022373785438182,0.0021322829649995,0.0020685441706907,0.0019551654858835,0.0021335807050093,0.0013725282859258,0.0013893348201268,0.001273317931349,0.001157872475415,0.0010003172253357,0.0009444503189877,0.0009483862629681,0.0007351403428383,0.0009963225359228,0.0007454261340272,0.0004106946593993,0.0008258432906841,0.000240562546262,0.0002777484050615,0.0003221599520637,0.0002837404391809,0.0001283000246731,0.0001987945437242,0.0001540946100532,0.0001099714497198,0.0002992492333721,0.00064784463008
"4 to 4",0.0228824381161812,0.0274204950482854,0.0309872511829807,0.0272713330380752,0.0236037013778845,0.0263163415541287,0.027601523804209,0.0264608481852092,0.0254123864201509,0.0219966524722268,0.0201454172377822,0.0166817801523399,0.0138909708142966,0.0110838005410959,0.0105084839313245,0.0084581617742407,0.0093828544653521,0.006132576579034,0.0062286283937853,0.0057048544754789,0.0057350087275678,0.0068667174336861,0.0077232223544097,0.0120906027004377,0.0141576264958666,0.0157692158662719,0.0171233893896463,0.0199854240981708,0.0233032087973854,0.0231719218090942,0.0300833099644164,0.0273162986766998,0.0272718187308935,0.0280807683994355,0.0289832992235127,0.0307808115354217,0.0271862627289674,0.0295271737321236,0.0284861719753341,0.0271177050779121,0.0285195739053714,0.0198021405963819,0.020910507767512,0.0183677640164214,0.0144149996988884,0.0126080868518591,0.0115971087218257,0.0083971503172409,0.0059359657022226,0.0066984899603793,0.0055219956182428,0.0052737670862873,0.0034212188652499,0.003396935122105,0.0026024112484805,0.0028777685523075,0.0021465346724163,0.0021928101554436,0.0023982196135221,0.0016790297484248,0.0018849527301485,0.0021410726481901,0.0021713763787526,0.0014731067667011,0.0012999267528546,0.0009009830709928,0.0012252674174382,0.0014832546941897,0.0014436433475579,0.0008844802883949,0.0014923055484363,0.0008306303316009,0.0009100280897434,0.0003872610189336,0.0005184021198256,0.000486820415646,0.0004019664687733,0.000374743880082,0.0002345519249434,0.00030734390165,0.0001860239404723,0.0001324891004606,0.0001953373920375,9.70559689421e-05,0.0008440403013357
"5 to 5",0.0195440215398702,0.0260220118554783,0.0321542154689209,0.029294633374148,0.0259759896994449,0.0272538379356199,0.0250120247166391,0.0264307418945771,0.0271105803558302,0.0244403630680175,0.0248799553206387,0.0202769501508125,0.0157836216154914,0.0138848316159509,0.0120094357360843,0.0097827678380129,0.0088970762769262,0.0068885976797521,0.0064443712655432,0.0057982768025878,0.0065573390896718,0.0059569734645577,0.0064966297562497,0.0075994715983539,0.0092407446191575,0.0117719990903769,0.0139142157184629,0.017599030380445,0.0197634669692789,0.02039474266043,0.0226979542004291,0.0237961583363148,0.0225931390269567,0.0266864121207088,0.0281056153561343,0.027860745176728,0.0277259295780771,0.0284800688161697,0.0300794509480443,0.0305489005113786,0.0314749379454793,0.0258609659894986,0.0217749350193866,0.0186805016439377,0.0169362991932048,0.0164271245103115,0.0143844216173771,0.0080469679344021,0.0079683608743165,0.0070487325756366,0.0053216524635972,0.0044626657072769,0.0031627104954584,0.0038352031526229,0.0028655547975363,0.0032742688857969,0.0025194637002078,0.002144814399325,0.0022399239308069,0.002495634477113,0.0022465652395399,0.0014857350678842,0.0024121313958453,0.0020468536555077,0.0011459972780426,0.0014663525840278,0.0010801025929559,0.0014761676664918,0.0015387733773491,0.00114149869858,0.0013529952935988,0.0006759274043323,0.0007067896178546,0.0004862267436114,0.0006029363685439,0.0003687567953894,0.0002862617184827,0.0002634520197988,0.0003394843487451,0.0003897348061487,0.0001103159972711,0.0004418860717759,0.0003048896390745,0.0001478828798005,0.0008038517977844
"6 to 6",0.017644503429893,0.0226068844151616,0.0299296351694847,0.0283371594352939,0.0267491174412322,0.0245571893400707,0.0239799731020926,0.0272217027194296,0.0261044628500342,0.0266853980876555,0.0257688380317319,0.023224544176104,0.0206613934392583,0.015054079448969,0.0139361596408156,0.0115263505371673,0.0102399707902138,0.0089526004990811,0.0063203196100202,0.0059895639884666,0.0064211715371772,0.005204790245549,0.0064258106075005,0.0074981405871828,0.0092770335167263,0.0102945407695369,0.0132749533478488,0.0125412254742871,0.0165732222872841,0.0168370263447862,0.0211997639886024,0.0209184572721177,0.0223896729109145,0.0227248988144113,0.0227338606943561,0.0272944357205213,0.0261028985123671,0.026233610757047,0.0296523071605373,0.0322461786876272,0.0338642697985855,0.0275183056653507,0.0246229354592735,0.0211268674193897,0.0177300439018577,0.0182600759572072,0.0140652857967484,0.0119177690505485,0.0099567834753601,0.0071180530813702,0.0062333296460903,0.0052453351285457,0.0055397468706765,0.0040875947483566,0.003918176021954,0.0036529398733506,0.00334872926972,0.0028170310816494,0.0028396748258796,0.0017652789286274,0.0021070501670909,0.0019910999453247,0.0019119090486076,0.0015335537987991,0.0015754368082319,0.0012141774722116,0.0017413288145378,0.0012492119366238,0.0009815927397053,0.0008494514490752,0.0009473047723557,0.0009152053986668,0.0007941032161129,0.0007237967654961,0.0007996340807126,0.000416115559555,0.0003542128561724,0.0004561097052083,0.0003583185900163,0.0004772604553134,0.0002664994513247,0.0003792883711366,0.0004046014078935,6.27057532529e-05,0.0005279600474772
"7 to 7",0.014478821549925,0.0203993124021377,0.027184501262354,0.0285344584434209,0.0256758693267876,0.0259826929031136,0.0272558847350874,0.0254088331313257,0.0239156895529522,0.0276011828907764,0.0252128846580267,0.023647454674766,0.0223453820809024,0.0202554160292349,0.0175859230324778,0.0141699660495768,0.0113214285322275,0.0095396319615438,0.0084284095192901,0.0075997678179439,0.0050410506147439,0.0046446764662115,0.0040960177791131,0.0052069170300217,0.0056943422820051,0.0070656183315107,0.0103926001273357,0.0133835718163139,0.0153700887612362,0.0153307443528759,0.0183097427172141,0.0184685267992441,0.0201929490659674,0.0219136446141626,0.0231562678588263,0.0252310077651468,0.0237818121117446,0.0291589120344418,0.0283570281372824,0.033639811504354,0.0332790158445472,0.0282054818862228,0.0275234666970658,0.0235938624064507,0.0212888856900786,0.0198480646997363,0.0147859927093956,0.0131949866175263,0.0115626159536064,0.0088690003381575,0.008647822032691,0.0059188313387026,0.0045738134970595,0.004987142995305,0.003193798649771,0.0028590839217115,0.0031034100450205,0.0019930961973028,0.0020586948934147,0.0019000406106041,0.0020885809459032,0.0022713966129443,0.0022327904920904,0.0019628873890371,0.0009774064161131,0.001221828799917,0.0012267947089796,0.0009840767021743,0.0010958804358585,0.0007286239981264,0.0013761626852193,0.0009977230429279,0.0008607500210074,0.0005471899523069,0.0008651553542465,0.0005849353910883,0.0004474074557264,0.0004796037600935,0.0002552488582939,0.0005243932021518,0.0003253831224323,0.0003777035326243,0.0002878302046408,0.0001812528495938,0.0007330463185117
"8 to 8",0.0119672423612837,0.0156799916050277,0.0226565881659587,0.0241663128015843,0.0251640834293405,0.027197431486235,0.0266731328720757,0.024406032058603,0.0248675470684121,0.0244489065848989,0.0267366423421205,0.0254913821828767,0.0257355335322659,0.0233149919118203,0.0200212609751293,0.016989318635162,0.0149032810854051,0.0114593097293722,0.0092792834623685,0.0088899585295549,0.006838481610226,0.0049179445503328,0.0042701945392959,0.003313373315776,0.0054166814017847,0.0067372311245449,0.0085290677073474,0.0103315575804764,0.0119361043676277,0.0136375713381961,0.014956845795385,0.0165076545182264,0.0201660202861548,0.018093553713448,0.0208450780891915,0.0228128439805518,0.022247682194823,0.0242494855421333,0.0279596091345251,0.0313292821582106,0.0339625993278084,0.0294130580651484,0.0272963381324746,0.0262658102038208,0.0244979769727487,0.0229316632608319,0.0193296487626137,0.0165034073371411,0.0120524540154526,0.0108578808843105,0.0100921401377913,0.0070620798035503,0.007301901739672,0.0049037259392858,0.0042253904459575,0.0038193425987756,0.0028419766646581,0.0027547678797078,0.0016650105549673,0.0017879072179889,0.0020950564199002,0.0019842252182473,0.0017896985460657,0.0020298983057272,0.0013927691366423,0.001559599565366,0.0009817344632337,0.0012790949239772,0.0008884929475991,0.0009415740434481,0.000950270652337,0.0012322488055309,0.0010404669102411,0.0005448006529217,0.0007522826720328,0.0006399664016195,0.0005057785932365,0.0007455969733721,0.0006295304709529,0.0007300990962692,0.0003500486201111,0.0003645988268766,0.0002083603477164,0.0002284463360869,0.0014257873580315
"9 to 9",0.0104652939223705,0.013977013791399,0.0183626500679865,0.0210626547981537,0.0210337672982685,0.0236767198600145,0.026330418314177,0.0271998663878014,0.0236093617648142,0.0259843808335688,0.0245392379383099,0.0265826898889544,0.0256691233489377,0.0254419710220174,0.0237313777568998,0.0214389846640427,0.0179862459444826,0.0121575820415728,0.0105377023938509,0.0096833114466525,0.0070508476656969,0.0047767103567568,0.0037722430529855,0.0040903008652429,0.0043928714578367,0.0048896111193095,0.0067929410968854,0.0077350401596341,0.0116309260044759,0.0124437614460816,0.0149493812022814,0.0151729069246471,0.017824837790035,0.016970115044361,0.0189451104880339,0.0208207977465518,0.0196246020027923,0.0223238238087426,0.0275522539675672,0.0307930515819147,0.0331130607812743,0.0308717783891798,0.0309208867097499,0.025302128051548,0.0252539331425642,0.0239263979983237,0.0218301304264181,0.0178601114447982,0.0165604224768958,0.0128196728080719,0.0119828993726906,0.008716703078652,0.0076717791102942,0.0062412671113367,0.0049809642965095,0.0042117223671748,0.0030366866097725,0.0021286782307664,0.0016873574994225,0.0017570188683878,0.0021725095390989,0.0021008784117833,0.0029101868313005,0.001777213076517,0.0010396139050431,0.0019047842249698,0.0014746738180613,0.0015890872039364,0.0009832609600591,0.0008256914521416,0.000684638898096,0.0012320419977033,0.0010498533004333,0.0011610748965737,0.000693912944493,0.0008639929289581,0.000745104341392,0.0003819099178728,0.0004319964644791,0.0005542665635473,0.0001727249291054,0.0003802526424336,0.0002132974870794,0.0003338489301366,0.0014270982948477
