date,cum_deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,5
2020-03-15,10
2020-03-16,21
2020-03-17,35
2020-03-18,60
2020-03-19,88
2020-03-20,143
2020-03-21,195
2020-03-22,249
2020-03-23,351
2020-03-24,475
2020-03-25,632
2020-03-26,867
2020-03-27,1139
2020-03-28,1492
2020-03-29,1874
2020-03-30,2286
2020-03-31,2775
2020-04-01,3411
2020-04-02,4138
2020-04-03,4899
2020-04-04,5686
2020-04-05,6596
2020-04-06,7657
2020-04-07,8930
2020-04-08,9879
2020-04-09,10929
2020-04-10,11850
2020-04-11,12772
2020-04-12,13710
2020-04-13,14728
2020-04-14,15608
2020-04-15,16394
2020-04-16,17137
2020-04-17,17614
2020-04-18,18175
2020-04-19,18699
2020-04-20,19670
2020-04-21,20341
2020-04-22,20859
2020-04-23,21516
2020-04-24,22069
2020-04-25,22505
2020-04-26,22910
2020-04-27,23391
2020-04-28,23726
2020-04-29,24172
2020-04-30,24542
2020-05-01,24911
2020-05-02,25201
2020-05-03,25484
2020-05-04,25837
2020-05-05,26119
2020-05-06,26689
2020-05-07,26916
2020-05-08,27233
2020-05-09,27454
2020-05-10,27627
2020-05-11,27824
2020-05-12,28042
2020-05-13,28247
2020-05-14,28408
2020-05-15,28673
2020-05-16,28845
2020-05-17,28971
2020-05-18,29454
2020-05-19,29652
2020-05-20,29717
2020-05-21,29790
2020-05-22,29864
2020-05-23,30032
2020-05-24,30125
2020-05-25,30249
2020-05-26,30276
2020-05-27,30462
2020-05-28,30482
2020-05-29,30578
2020-05-30,30649
2020-05-31,30699
2020-06-01,30832
2020-06-02,30910
2020-06-03,30964
2020-06-04,31093
2020-06-05,31120
2020-06-06,31141
2020-06-07,31226
2020-06-08,31287
2020-06-09,31327
2020-06-10,31390
2020-06-11,31404
2020-06-12,31554
2020-06-13,31568
2020-06-14,31595
2020-06-15,31628
2020-06-16,31678
2020-06-17,31696
2020-06-18,31728
2020-06-19,31747
2020-06-20,31817
2020-06-21,31854
2020-06-22,31890
2020-06-23,31952
2020-06-24,31974
2020-06-25,32007
2020-06-26,32030
2020-06-27,32051
2020-06-28,32078
2020-06-29,32109
2020-06-30,32070
2020-07-01,32088
2020-07-02,32112
2020-07-03,32192
2020-07-04,32206
2020-07-05,32244
2020-07-06,32261
2020-07-07,32283
2020-07-08,32304
2020-07-09,32327
2020-07-10,32369
2020-07-11,32380
2020-07-12,32395
2020-07-13,32418
2020-07-14,32429
2020-07-15,32448
2020-07-16,32457
2020-07-17,32484
2020-07-18,32497
2020-07-19,32516
2020-07-20,32527
2020-07-21,32539
2020-07-22,32582
2020-07-23,32591
2020-07-24,32602
2020-07-25,32612
2020-07-26,32629
2020-07-27,32639
2020-07-28,32653
2020-07-29,32654
2020-07-30,32672
2020-07-31,32675
2020-08-01,32684
2020-08-02,32697
2020-08-03,32697
2020-08-04,32703
2020-08-05,32736
